
    sappi  sapps  vbri   vbrs  trafi  trafs     value      prob  label
0      20  16000    30  24000     30   8000  0.732611  0.705882      1
1      20  16000    30  24000     30   8000  0.638878  0.294118      0
2      20  16000    30  24000     30  10000  0.736060  0.764706      1
3      20  16000    30  24000     30  10000  0.661240  0.235294      0
4      20  16000    30  24000     30  12000  0.742849  0.666667      1
5      20  16000    30  24000     30  12000  0.654685  0.333333      0
6      20  16000    30  24000     30  14000  0.752012  0.562500      1
7      20  16000    30  24000     30  14000  0.657486  0.437500      0
8      20  16000    30  24000     30  16000  0.754317  0.687500      1
9      20  16000    30  24000     30  16000  0.662134  0.312500      0
10     20  16000    30  24000     30  18000  0.757192  0.666667      1
11     20  16000    30  24000     30  18000  0.670750  0.333333      0
12     20  16000    30  24000     30  20000  0.767737  0.625000      1
13     20  16000    30  24000     30  20000  0.674303  0.375000      0
14     20  16000    30  24000     30  22000  0.770436  0.375000      1
15     20  16000    30  24000     30  22000  0.677468  0.625000      0
16     20  16000    30  24000     30  24000  0.775875  0.562500      1
17     20  16000    30  24000     30  24000  0.683975  0.437500      0
18     20  16000    30  24000     30  26000  0.779287  0.500000      1
19     20  16000    30  24000     30  26000  0.694924  0.500000      0
20     20  16000    30  24000     30  28000  0.782716  0.555556      1
21     20  16000    30  24000     30  28000  0.681827  0.444444      0
22     20  16000    30  24000     30  30000  0.785628  0.526316      1
23     20  16000    30  24000     30  30000  0.695594  0.473684      0
24     20  16000    30  24000     30  32000  0.786457  0.625000      1
25     20  16000    30  24000     30  32000  0.681429  0.375000      0
26     20  16000    30  24000     30  34000  0.792135  0.647059      1
27     20  16000    30  24000     30  34000  0.708926  0.352941      0
28     20  16000    30  24000     30  36000  0.790173  0.625000      1
29     20  16000    30  24000     30  36000  0.700407  0.375000      0
30     20  30000    30  24000     30   8000  0.755226  0.705882      1
31     20  30000    30  24000     30   8000  0.679412  0.294118      0
32     20  30000    30  24000     30  10000  0.762690  0.611111      1
33     20  30000    30  24000     30  10000  0.674041  0.388889      0
34     20  30000    30  24000     30  12000  0.767350  0.526316      1
35     20  30000    30  24000     30  12000  0.673905  0.473684      0
36     20  30000    30  24000     30  14000  0.772874  0.588235      1
37     20  30000    30  24000     30  14000  0.693779  0.411765      0
38     20  30000    30  24000     30  16000  0.777864  0.550000      1
39     20  30000    30  24000     30  16000  0.685041  0.450000      0
40     20  30000    30  24000     30  18000  0.785313  0.600000      1
41     20  30000    30  24000     30  18000  0.703739  0.400000      0
42     20  30000    30  24000     30  20000  0.787077  0.764706      1
43     20  30000    30  24000     30  20000  0.708695  0.235294      0
44     20  30000    30  24000     30  22000  0.789956  0.500000      1
45     20  30000    30  24000     30  22000  0.703306  0.500000      0
46     20  30000    30  24000     30  24000  0.795382  0.700000      1
47     20  30000    30  24000     30  24000  0.672393  0.300000      0
48     20  30000    30  24000     30  26000  0.796213  0.764706      1
49     20  30000    30  24000     30  26000  0.649045  0.235294      0
50     20  30000    30  24000     30  28000  0.797806  0.722222      1
51     20  30000    30  24000     30  28000  0.672150  0.277778      0
52     20  30000    30  24000     30  30000  0.799038  0.736842      1
53     20  30000    30  24000     30  30000  0.655431  0.263158      0
54     20  30000    30  24000     30  32000  0.803668  0.526316      1
55     20  30000    30  24000     30  32000  0.674321  0.473684      0
56     20  30000    30  24000     30  34000  0.801680  0.941176      1
57     20  30000    30  24000     30  34000  0.678214  0.058824      0
58     20  30000    30  24000     30  36000  0.802730  0.800000      1
59     20  30000    30  24000     30  36000  0.651597  0.200000      0
