
     sappi  sapps  vbri   vbrs  trafi  trafs     value  prob  label
0       20  63709    30  24000     30  63998  0.605322  0.35      1
1       20  63709    30  24000     30  63998  0.706268  0.65      0
2       20  63976    30  24000     30    283  0.706268  0.65      1
3       20  63976    30  24000     30    283  0.605322  0.35      0
4       20  24064    30  24000     30  63980  0.706268  0.65      1
5       20  24064    30  24000     30  63980  0.605322  0.35      0
6       20      3    30  24000     30  63876  0.706268  0.65      1
7       20      3    30  24000     30  63876  0.605322  0.35      0
8       20  63973    30  24000     30  35465  0.706268  0.65      1
9       20  63973    30  24000     30  35465  0.605322  0.35      0
10      20  34495    30  24000     30  63986  0.706268  0.65      1
11      20  34495    30  24000     30  63986  0.605322  0.35      0
12      20  45181    30  24000     30  48150  0.605322  0.35      1
13      20  45181    30  24000     30  48150  0.706268  0.65      0
14      20  45054    30  24000     30  48390  0.706268  0.65      1
15      20  45054    30  24000     30  48390  0.605322  0.35      0
16      20  33249    30  24000     30  63986  0.605322  0.35      1
17      20  33249    30  24000     30  63986  0.706268  0.65      0
18      20  53340    30  24000     30  34500  0.706268  0.65      1
19      20  53340    30  24000     30  34500  0.605322  0.35      0
20      20  42206    30  24000     30  44016  0.706268  0.65      1
21      20  42206    30  24000     30  44016  0.605322  0.35      0
22      20  40228    30  24000     30  45406  0.706268  0.65      1
23      20  40228    30  24000     30  45406  0.605322  0.35      0
24      20  28527    30  24000     30  63949  0.706268  0.65      1
25      20  28527    30  24000     30  63949  0.605322  0.35      0
26      20  63955    30  24000     30  27404  0.706268  0.65      1
27      20  63955    30  24000     30  27404  0.605322  0.35      0
28      20  63706    30  24000     30    217  0.706268  0.65      1
29      20  63706    30  24000     30    217  0.605322  0.35      0
..     ...    ...   ...    ...    ...    ...       ...   ...    ...
90      20  50054    30  24000     30  23937  0.706268  0.65      1
91      20  50054    30  24000     30  23937  0.605322  0.35      0
92      20  29988    30  24000     30  50953  0.605322  0.35      1
93      20  29988    30  24000     30  50953  0.706268  0.65      0
94      20  32619    30  24000     30  45542  0.706268  0.65      1
95      20  32619    30  24000     30  45542  0.605322  0.35      0
96      20  31920    30  24000     30  46328  0.706268  0.65      1
97      20  31920    30  24000     30  46328  0.605322  0.35      0
98      20  29687    30  24000     30  51218  0.706268  0.65      1
99      20  29687    30  24000     30  51218  0.605322  0.35      0
100     20  30208    30  24000     30  50682  0.706268  0.65      1
101     20  30208    30  24000     30  50682  0.605322  0.35      0
102     20  30433    30  24000     30  50334  0.605322  0.35      1
103     20  30433    30  24000     30  50334  0.706268  0.65      0
104     20  34874    30  24000     30  47880  0.706268  0.65      1
105     20  34874    30  24000     30  47880  0.605322  0.35      0
106     20  37153    30  24000     30  41022  0.706268  0.65      1
107     20  37153    30  24000     30  41022  0.605322  0.35      0
108     20  29175    30  24000     30  51017  0.706268  0.65      1
109     20  29175    30  24000     30  51017  0.605322  0.35      0
110     20  35732    30  24000     30  47203  0.605322  0.35      1
111     20  35732    30  24000     30  47203  0.706268  0.65      0
112     20  35318    30  24000     30  63967  0.706268  0.65      1
113     20  35318    30  24000     30  63967  0.605322  0.35      0
114     20  28391    30  24000     30  49667  0.706268  0.65      1
115     20  28391    30  24000     30  49667  0.605322  0.35      0
116     20  36563    30  24000     30  43955  0.706268  0.65      1
117     20  36563    30  24000     30  43955  0.605322  0.35      0
118     20  28394    30  24000     30  49467  0.706268  0.65      1
119     20  28394    30  24000     30  49467  0.605322  0.35      0

[120 rows x 9 columns]
