
    sappi  sapps  vbri   vbrs  trafi  trafs     value  prob  label
0      20  22605    30  24000     30  32779  0.677295   0.9      1
1      20  22605    30  24000     30  32779  0.584163   0.1      0
2      20  22635    30  24000     30  32892  0.678527   0.7      1
3      20  22635    30  24000     30  32892  0.579236   0.3      0
4      20  22663    30  24000     30  32814  0.645650   0.9      1
5      20  22663    30  24000     30  32814  0.370163   0.1      0
6      20  22620    30  24000     30  33077  0.679276   0.6      1
7      20  22620    30  24000     30  33077  0.570526   0.4      0
8      20  22630    30  24000     30  33037  0.680157   0.7      1
9      20  22630    30  24000     30  33037  0.584322   0.3      0
10     20  22650    30  24000     30  33078  0.680536   0.6      1
11     20  22650    30  24000     30  33078  0.581614   0.4      0
12     20  22698    30  24000     30  33099  0.677691   0.8      1
13     20  22698    30  24000     30  33099  0.580150   0.2      0
14     20  22735    30  24000     30  33144  0.677233   0.7      1
15     20  22735    30  24000     30  33144  0.584421   0.3      0
16     20  22637    30  24000     30  33191  0.678136   0.9      1
17     20  22637    30  24000     30  33191  0.580405   0.1      0
18     20  22702    30  24000     30  33057  0.675222   0.7      1
19     20  22702    30  24000     30  33057  0.581451   0.3      0
20     20  22638    30  24000     30  33215  0.675222   0.5      1
21     20  22638    30  24000     30  33215  0.583611   0.5      0
22     20  22672    30  24000     30  33155  0.678800   0.7      1
23     20  22672    30  24000     30  33155  0.583659   0.3      0
24     20  22695    30  24000     30  33179  0.680417   0.7      1
25     20  22695    30  24000     30  33179  0.583212   0.3      0
26     20  22694    30  24000     30  33081  0.676769   0.7      1
27     20  22694    30  24000     30  33081  0.595492   0.3      0
28     20  22680    30  24000     30  33141  0.678839   0.6      1
29     20  22680    30  24000     30  33141  0.583104   0.4      0
30     20  22688    30  24000     30  33244  0.677495   0.8      1
31     20  22688    30  24000     30  33244  0.576504   0.2      0
32     20  22653    30  24000     30  33241  0.659370   0.9      1
33     20  22653    30  24000     30  33241  0.370163   0.1      0
34     20  22780    30  24000     30  33173  0.677860   0.7      1
35     20  22780    30  24000     30  33173  0.580028   0.3      0
36     20  22595    30  24000     30  33267  0.679056   0.9      1
37     20  22595    30  24000     30  33267  0.584172   0.1      0
38     20  22623    30  24000     30  33306  0.614785   0.9      1
39     20  22623    30  24000     30  33306  0.370163   0.1      0
40     20  22695    30  24000     30  33256  0.678506   0.8      1
41     20  22695    30  24000     30  33256  0.585784   0.2      0
42     20  22734    30  24000     30  33334  0.658638   0.9      1
43     20  22734    30  24000     30  33334  0.370163   0.1      0
44     20  22723    30  24000     30  33364  0.680593   0.4      1
45     20  22723    30  24000     30  33364  0.582202   0.6      0
46     20  22662    30  24000     30  33399  0.677375   0.9      1
47     20  22662    30  24000     30  33399  0.630374   0.1      0
48     20  22592    30  24000     30  33415  0.683614   0.6      1
49     20  22592    30  24000     30  33415  0.676232   0.4      0
