
     sappi  sapps  vbri   vbrs  trafi  trafs     value      prob  label
0       20  57405    30  24000     30  47321  0.384578  0.850000      1
1       20  57405    30  24000     30  47321  0.316456  0.150000      0
2       20  35159    30  24000     30  37803  0.589028  0.350000      1
3       20  35159    30  24000     30  37803  0.525813  0.650000      0
4       20  35849    30  24000     30  35489  0.588274  0.529412      1
5       20  35849    30  24000     30  35489  0.535611  0.470588      0
6       20  35228    30  24000     30  36138  0.609876  0.500000      1
7       20  35228    30  24000     30  36138  0.543290  0.500000      0
8       20  35874    30  24000     30  36224  0.596406  0.388889      1
9       20  35874    30  24000     30  36224  0.550789  0.611111      0
10      20  35253    30  24000     30  37219  0.569737  0.722222      1
11      20  35253    30  24000     30  37219  0.493174  0.277778      0
12      20  35445    30  24000     30  36353  0.592488  0.470588      1
13      20  35445    30  24000     30  36353  0.520185  0.529412      0
14      20  35737    30  24000     30  36082  0.580199  0.421053      1
15      20  35737    30  24000     30  36082  0.517613  0.578947      0
16      20  43942    30  24000     30  24887  0.488653  0.736842      1
17      20  43942    30  24000     30  24887  0.403404  0.263158      0
18      20  32747    30  24000     30  37895  0.626049  0.941176      1
19      20  32747    30  24000     30  37895  0.370163  0.058824      0
20      20  33705    30  24000     30  35596  0.633356  0.888889      1
21      20  33705    30  24000     30  35596  0.567459  0.111111      0
22      20  33675    30  24000     30  35152  0.641833  0.789474      1
23      20  33675    30  24000     30  35152  0.548134  0.210526      0
24      20  33708    30  24000     30  36548  0.636894  0.550000      1
25      20  33708    30  24000     30  36548  0.572183  0.450000      0
26      20  33751    30  24000     30  36086  0.630642  0.944444      1
27      20  33751    30  24000     30  36086  0.370163  0.055556      0
28      20  34088    30  24000     30  35220  0.634593  0.789474      1
29      20  34088    30  24000     30  35220  0.537069  0.210526      0
30      20  33959    30  24000     30  34654  0.629177  0.850000      1
31      20  33959    30  24000     30  34654  0.547379  0.150000      0
32      20  34160    30  24000     30  35855  0.583069  0.947368      1
33      20  34160    30  24000     30  35855  0.370163  0.052632      0
34      20  34118    30  24000     30  35518  0.630327  0.700000      1
35      20  34118    30  24000     30  35518  0.573577  0.300000      0
36      20  34176    30  24000     30  36187  0.632087  0.611111      1
37      20  34176    30  24000     30  36187  0.549966  0.388889      0
38      20  34119    30  24000     30  35597  0.627680  0.650000      1
39      20  34119    30  24000     30  35597  0.555563  0.350000      0
40      20  34085    30  24000     30  35137  0.623753  0.950000      1
41      20  34085    30  24000     30  35137  0.370163  0.050000      0
42      20  34308    30  24000     30  34868  0.635702  0.736842      1
43      20  34308    30  24000     30  34868  0.563839  0.263158      0
44      20  34159    30  24000     30  35059  0.634672  0.750000      1
45      20  34159    30  24000     30  35059  0.568195  0.250000      0
46      20  34304    30  24000     30  34892  0.631023  0.750000      1
47      20  34304    30  24000     30  34892  0.561047  0.250000      0
48      20  34244    30  24000     30  34807  0.630608  0.705882      1
49      20  34244    30  24000     30  34807  0.550878  0.294118      0
50      20  34294    30  24000     30  34678  0.625188  0.684211      1
51      20  34294    30  24000     30  34678  0.534948  0.315789      0
52      20  34163    30  24000     30  34765  0.631904  0.625000      1
53      20  34163    30  24000     30  34765  0.577187  0.375000      0
54      20  34321    30  24000     30  34523  0.631909  0.777778      1
55      20  34321    30  24000     30  34523  0.571400  0.222222      0
56      20  33754    30  24000     30  33483  0.644223  0.684211      1
57      20  33754    30  24000     30  33483  0.584635  0.315789      0
58      20  34020    30  24000     30  34924  0.634991  0.944444      1
59      20  34020    30  24000     30  34924  0.535001  0.055556      0
60      20  33604    30  24000     30  33249  0.642461  0.736842      1
61      20  33604    30  24000     30  33249  0.566914  0.263158      0
62      20  34019    30  24000     30  35101  0.623844  0.555556      1
63      20  34019    30  24000     30  35101  0.558296  0.444444      0
64      20  33890    30  24000     30  34857  0.645202  0.526316      1
65      20  33890    30  24000     30  34857  0.563979  0.473684      0
66      20  34097    30  24000     30  34626  0.636226  0.833333      1
67      20  34097    30  24000     30  34626  0.562142  0.166667      0
68      20  34041    30  24000     30  34616  0.637566  0.700000      1
69      20  34041    30  24000     30  34616  0.546565  0.300000      0
70      20  33944    30  24000     30  34610  0.634602  0.888889      1
71      20  33944    30  24000     30  34610  0.529631  0.111111      0
72      20  33443    30  24000     30  32358  0.639001  0.600000      1
73      20  33443    30  24000     30  32358  0.570124  0.400000      0
74      20  33846    30  24000     30  34929  0.640102  0.722222      1
