
     sappi    sapps  vbri   vbrs  trafi    trafs     value  prob  label
0       20  53443.0    30  50000     30  15692.0  0.504259  0.80      1
1       20  53443.0    30  50000     30  15692.0  0.454893  0.20      0
2       20  43800.0    30  50000     30  12283.0  0.531941  0.65      1
3       20  43800.0    30  50000     30  12283.0  0.468743  0.35      0
4       20  16086.0    30  50000     30  38430.0  0.576990  0.95      1
5       20  16086.0    30  50000     30  38430.0  0.370163  0.05      0
6       20  26959.0    30  50000     30  32247.0  0.565325  0.70      1
7       20  26959.0    30  50000     30  32247.0  0.473046  0.30      0
8       20  42082.0    30  50000     30  57698.0  0.488820  0.65      1
9       20  42082.0    30  50000     30  57698.0  0.441433  0.35      0
10      20   2081.0    30  50000     30   2220.0  0.468423  0.65      1
11      20   2081.0    30  50000     30   2220.0  0.421707  0.35      0
12      20  48034.0    30  50000     30   6091.0  0.514074  0.60      1
13      20  48034.0    30  50000     30   6091.0  0.436612  0.40      0
14      20   2822.0    30  50000     30  35634.0  0.560319  0.80      1
15      20   2822.0    30  50000     30  35634.0  0.501583  0.20      0
16      20  14496.0    30  50000     30  28744.0  0.618029  0.75      1
17      20  14496.0    30  50000     30  28744.0  0.538674  0.25      0
18      20  62444.0    30  50000     30    208.0  0.450726  0.75      1
19      20  62444.0    30  50000     30    208.0  0.409249  0.25      0
20      20  28669.0    30  50000     30  43715.0  0.540258  0.55      1
21      20  28669.0    30  50000     30  43715.0  0.478864  0.45      0
22      20  57767.0    30  50000     30  45810.0  0.466100  0.65      1
23      20  57767.0    30  50000     30  45810.0  0.429603  0.35      0
24      20  29920.0    30  50000     30  51569.0  0.530889  0.60      1
25      20  29920.0    30  50000     30  51569.0  0.469602  0.40      0
26      20  25520.0    30  50000     30  62792.0  0.520968  0.85      1
27      20  25520.0    30  50000     30  62792.0  0.463925  0.15      0
28      20  18850.0    30  50000     30  60583.0  0.537278  0.75      1
29      20  18850.0    30  50000     30  60583.0  0.451165  0.25      0
..     ...      ...   ...    ...    ...      ...       ...   ...    ...
170     20  61369.0    30  50000     30  24627.0  0.478305  0.70      1
171     20  61369.0    30  50000     30  24627.0  0.437766  0.30      0
172     20  25407.0    30  50000     30  33377.0  0.566441  0.70      1
173     20  25407.0    30  50000     30  33377.0  0.498989  0.30      0
174     20  27196.0    30  50000     30  43684.0  0.542418  0.70      1
175     20  27196.0    30  50000     30  43684.0  0.480695  0.30      0
176     20  58176.0    30  50000     30  34723.0  0.474168  0.55      1
177     20  58176.0    30  50000     30  34723.0  0.436674  0.45      0
178     20  23205.0    30  50000     30   7874.0  0.597964  0.85      1
179     20  23205.0    30  50000     30   7874.0  0.539332  0.15      0
180     20  31941.0    30  50000     30  38577.0  0.538929  0.75      1
181     20  31941.0    30  50000     30  38577.0  0.480110  0.25      0
182     20  41735.0    30  50000     30  20020.0  0.530860  0.65      1
183     20  41735.0    30  50000     30  20020.0  0.467554  0.35      0
184     20  32292.0    30  50000     30  30952.0  0.550052  0.60      1
185     20  32292.0    30  50000     30  30952.0  0.483450  0.40      0
186     20   3419.0    30  50000     30   6842.0  0.488623  0.90      1
187     20   3419.0    30  50000     30   6842.0  0.370163  0.10      0
188     20  16151.0    30  50000     30  43387.0  0.575326  0.85      1
189     20  16151.0    30  50000     30  43387.0  0.511652  0.15      0
190     20    458.0    30  50000     30  60766.0  0.514361  0.95      1
191     20    458.0    30  50000     30  60766.0  0.370163  0.05      0
192     20  14225.0    30  50000     30   2134.0  0.534863  0.90      1
193     20  14225.0    30  50000     30   2134.0  0.370163  0.10      0
194     20   5979.0    30  50000     30  52700.0  0.591340  0.70      1
195     20   5979.0    30  50000     30  52700.0  0.519269  0.30      0
196     20  35225.0    30  50000     30   5366.0  0.565891  0.95      1
197     20  35225.0    30  50000     30   5366.0  0.370163  0.05      0
198     20  22748.0    30  50000     30  55092.0  0.539524  0.90      1
199     20  22748.0    30  50000     30  55092.0  0.473437  0.10      0

[200 rows x 9 columns]
