                              24 May 2018 18:54:38
Aircraft-Aircraft1


Time (EpSec)    Lat (deg)    Lon (deg)    Alt (km)
------------    ---------    ---------    --------
       0.000      -29.109      152.102    3.048000
      30.000      -29.098      152.123    3.048000
      60.000      -29.088      152.143    3.048000
      90.000      -29.077      152.164    3.048000
     120.000      -29.066      152.184    3.048000
     150.000      -29.056      152.204    3.048000
     180.000      -29.045      152.225    3.048000
     210.000      -29.034      152.245    3.048000
     240.000      -29.024      152.266    3.048000
     270.000      -29.013      152.286    3.048000
     300.000      -29.002      152.306    3.048000
     330.000      -28.992      152.327    3.048000
     360.000      -28.981      152.347    3.048000
     390.000      -28.970      152.368    3.048000
     420.000      -28.960      152.388    3.048000
     450.000      -28.949      152.408    3.048000
     480.000      -28.938      152.429    3.048000
     510.000      -28.927      152.449    3.048000
     540.000      -28.917      152.470    3.048000
     570.000      -28.906      152.490    3.048000
     600.000      -28.895      152.510    3.048000
     630.000      -28.885      152.531    3.048000
     660.000      -28.874      152.551    3.048000
     690.000      -28.863      152.571    3.048000
     720.000      -28.852      152.592    3.048000
     750.000      -28.842      152.612    3.048000
     780.000      -28.831      152.632    3.048000
     810.000      -28.820      152.653    3.048000
     840.000      -28.810      152.673    3.048000
     870.000      -28.799      152.693    3.048000
     900.000      -28.788      152.714    3.048000
     930.000      -28.777      152.734    3.048000
     960.000      -28.767      152.754    3.048000
     990.000      -28.756      152.775    3.048000
    1020.000      -28.745      152.795    3.048000
    1050.000      -28.734      152.815    3.048000
    1080.000      -28.724      152.836    3.048000
    1110.000      -28.713      152.856    3.048000
    1140.000      -28.702      152.876    3.048000
    1170.000      -28.691      152.897    3.048000
    1200.000      -28.681      152.917    3.048000
    1230.000      -28.670      152.937    3.048000
    1260.000      -28.659      152.957    3.048000
    1290.000      -28.648      152.978    3.048000
    1320.000      -28.637      152.998    3.048000
    1350.000      -28.627      153.018    3.048000
    1380.000      -28.616      153.038    3.048000
    1410.000      -28.605      153.059    3.048000
    1440.000      -28.594      153.079    3.048000
    1470.000      -28.583      153.099    3.048000
    1500.000      -28.573      153.119    3.048000
    1530.000      -28.562      153.140    3.048000
    1560.000      -28.551      153.160    3.048000
    1590.000      -28.540      153.180    3.048000
    1620.000      -28.529      153.200    3.048000
    1650.000      -28.519      153.221    3.048000
    1680.000      -28.508      153.241    3.048000
    1710.000      -28.497      153.261    3.048000
    1740.000      -28.486      153.281    3.048000
    1770.000      -28.475      153.301    3.048000
