                              15 Oct 2018 11:41:03
Aircraft-Aircraft2


Time (EpSec)    Lat (deg)    Lon (deg)    Alt (km)
------------    ---------    ---------    --------
       0.000       30.000       30.124    3.048000
      30.000       30.013       30.105    3.048000
      60.000       30.026       30.087    3.048000
      90.000       30.040       30.068    3.048000
     120.000       30.053       30.049    3.048000
     150.000       30.066       30.031    3.048000
     180.000       30.079       30.012    3.048000
     210.000       30.093       29.994    3.048000
     240.000       30.106       29.975    3.048000
     270.000       30.119       29.957    3.048000
     300.000       30.132       29.938    3.048000
     330.000       30.145       29.919    3.048000
     360.000       30.159       29.901    3.048000
     390.000       30.172       29.882    3.048000
     420.000       30.185       29.864    3.048000
     450.000       30.198       29.845    3.048000
     480.000       30.212       29.826    3.048000
     510.000       30.225       29.808    3.048000
     540.000       30.238       29.789    3.048000
     570.000       30.251       29.771    3.048000
     600.000       30.264       29.752    3.048000
     630.000       30.277       29.733    3.048000
     660.000       30.291       29.715    3.048000
     690.000       30.304       29.696    3.048000
     720.000       30.317       29.677    3.048000
     750.000       30.330       29.659    3.048000
     780.000       30.343       29.640    3.048000
     810.000       30.357       29.621    3.048000
     840.000       30.370       29.603    3.048000
     870.000       30.383       29.584    3.048000
     900.000       30.396       29.565    3.048000
     930.000       30.409       29.547    3.048000
     960.000       30.422       29.528    3.048000
     990.000       30.436       29.509    3.048000
    1020.000       30.449       29.490    3.048000
    1050.000       30.462       29.472    3.048000
    1080.000       30.475       29.453    3.048000
    1110.000       30.488       29.434    3.048000
    1140.000       30.501       29.416    3.048000
    1170.000       30.514       29.397    3.048000
    1200.000       30.528       29.378    3.048000
    1230.000       30.541       29.359    3.048000
    1260.000       30.554       29.341    3.048000
    1290.000       30.567       29.322    3.048000
    1320.000       30.580       29.303    3.048000
    1350.000       30.593       29.284    3.048000
    1380.000       30.606       29.266    3.048000
    1410.000       30.619       29.247    3.048000
    1440.000       30.633       29.228    3.048000
    1470.000       30.646       29.209    3.048000
    1500.000       30.659       29.191    3.048000
    1530.000       30.672       29.172    3.048000
    1560.000       30.685       29.153    3.048000
    1590.000       30.698       29.134    3.048000
    1620.000       30.711       29.115    3.048000
    1650.000       30.724       29.097    3.048000
    1680.000       30.737       29.078    3.048000
    1710.000       30.750       29.059    3.048000
    1740.000       30.764       29.040    3.048000
    1770.000       30.777       29.021    3.048000
    1800.000       30.790       29.002    3.048000
    1830.000       30.803       28.984    3.048000
    1860.000       30.816       28.965    3.048000
    1890.000       30.829       28.946    3.048000
    1920.000       30.842       28.927    3.048000
    1950.000       30.855       28.908    3.048000
    1980.000       30.868       28.889    3.048000
    2010.000       30.881       28.870    3.048000
    2040.000       30.894       28.852    3.048000
    2070.000       30.907       28.833    3.048000
    2100.000       30.920       28.814    3.048000
    2130.000       30.933       28.795    3.048000
