                                24 May 2018 18:54:41
Satellite-RS156


Time (EpSec)    Lat (deg)    Lon (deg)      Alt (m) 
------------    ---------    ---------    ----------
       0.000       51.544     -100.312    504936.341
      30.000       53.394      -99.730    505604.923
      60.000       55.239      -99.084    506259.069
      90.000       57.079      -98.363    506895.905
     120.000       58.911      -97.555    507512.635
     150.000       60.735      -96.642    508106.557
     180.000       62.550      -95.605    508675.066
     210.000       64.353      -94.418    509215.675
     240.000       66.142      -93.048    509726.016
     270.000       67.914      -91.453    510203.860
     300.000       69.665      -89.575    510647.117
     330.000       71.388      -87.342    511053.852
     360.000       73.076      -84.651    511422.289
     390.000       74.716      -81.367    511750.821
     420.000       76.293      -77.303    512038.015
     450.000       77.782      -72.209    512282.620
     480.000       79.146      -65.762    512483.568
     510.000       80.333      -57.594    512639.986
     540.000       81.270      -47.412    512751.191
     570.000       81.870      -35.270    512816.699
     600.000       82.058      -21.899    512836.225
     630.000       81.804       -8.638    512809.684
     660.000       81.146        3.233    512737.191
     690.000       80.166       13.099    512619.063
     720.000       78.948       20.982    512455.813
     750.000       77.562       27.199    512248.153
     780.000       76.058       32.118    511996.987
     810.000       74.470       36.048    511703.410
     840.000       72.821       39.231    511368.702
     870.000       71.127       41.844    510994.323
     900.000       69.399       44.018    510581.906
     930.000       67.645       45.848    510133.251
     960.000       65.870       47.406    509650.319
     990.000       64.079       48.746    509135.219
    1020.000       62.274       49.908    508590.205
    1050.000       60.458       50.924    508017.660
    1080.000       58.632       51.820    507420.094
    1110.000       56.799       52.614    506800.123
    1140.000       54.959       53.322    506160.468
    1170.000       53.113       53.958    505503.936
    1200.000       51.261       54.531    504833.411
    1230.000       49.405       55.050    504151.841
    1260.000       47.546       55.523    503462.226
    1290.000       45.682       55.954    502767.602
    1320.000       43.815       56.350    502071.031
    1350.000       41.945       56.714    501375.588
    1380.000       40.073       57.051    500684.342
    1410.000       38.198       57.363    500000.349
    1440.000       36.320       57.653    499326.635
    1470.000       34.441       57.924    498666.183
    1500.000       32.559       58.177    498021.919
    1530.000       30.676       58.415    497396.700
    1560.000       28.791       58.639    496793.303
    1590.000       26.905       58.851    496214.406
    1620.000       25.017       59.052    495662.585
    1650.000       23.128       59.243    495140.292
    1680.000       21.238       59.425    494649.855
    1710.000       19.347       59.600    494193.456
    1740.000       17.454       59.767    493773.132
    1770.000       15.561       59.929    493390.755
    1800.000       13.667       60.086    493048.033
