                                 24 May 2018 18:54:42
Satellite-Sat0107


Time (EpSec)    Lat (deg)    Lon (deg)      Alt (m)  
------------    ---------    ---------    -----------
       0.000       -0.078       78.583    1031363.040
      30.000       -1.762       78.753    1031383.068
      60.000       -3.445       78.923    1031439.666
      90.000       -5.129       79.094    1031532.634
     120.000       -6.812       79.267    1031661.639
     150.000       -8.495       79.442    1031826.222
     180.000      -10.177       79.619    1032025.798
     210.000      -11.859       79.800    1032259.656
     240.000      -13.540       79.984    1032526.965
     270.000      -15.221       80.173    1032826.773
     300.000      -16.901       80.367    1033158.014
     330.000      -18.580       80.566    1033519.511
     360.000      -20.258       80.772    1033909.980
     390.000      -21.935       80.985    1034328.033
     420.000      -23.611       81.206    1034772.187
     450.000      -25.286       81.436    1035240.865
     480.000      -26.960       81.675    1035732.407
     510.000      -28.632       81.926    1036245.068
     540.000      -30.302       82.189    1036777.034
     570.000      -31.971       82.465    1037326.421
     600.000      -33.638       82.756    1037891.285
     630.000      -35.304       83.063    1038469.630
     660.000      -36.967       83.388    1039059.411
     690.000      -38.627       83.733    1039658.547
     720.000      -40.286       84.101    1040264.923
     750.000      -41.941       84.492    1040876.400
     780.000      -43.593       84.912    1041490.825
     810.000      -45.243       85.362    1042106.034
     840.000      -46.888       85.846    1042719.862
     870.000      -48.530       86.368    1043330.150
     900.000      -50.167       86.934    1043934.755
     930.000      -51.799       87.548    1044531.552
     960.000      -53.426       88.217    1045118.450
     990.000      -55.046       88.950    1045693.388
    1020.000      -56.660       89.754    1046254.353
    1050.000      -58.265       90.641    1046799.379
    1080.000      -59.861       91.624    1047326.561
    1110.000      -61.447       92.717    1047834.053
    1140.000      -63.020       93.941    1048320.082
    1170.000      -64.578       95.317    1048782.950
    1200.000      -66.119       96.874    1049221.040
    1230.000      -67.639       98.646    1049632.824
    1260.000      -69.134      100.678    1050016.866
    1290.000      -70.597      103.022    1050371.826
    1320.000      -72.021      105.746    1050696.467
    1350.000      -73.397      108.934    1050989.659
    1380.000      -74.711      112.687    1051250.381
    1410.000      -75.946      117.126    1051477.723
    1440.000      -77.079      122.385    1051670.897
    1470.000      -78.082      128.595    1051829.228
    1500.000      -78.920      135.845    1051952.167
    1530.000      -79.551      144.125    1052039.286
    1560.000      -79.939      153.252    1052090.282
    1590.000      -80.053      162.845    1052104.977
    1620.000      -79.885      172.386    1052083.320
    1650.000      -79.448     -178.625    1052025.388
    1680.000      -78.774     -170.535    1051931.380
    1710.000      -77.902     -163.487    1051801.624
    1740.000      -76.871     -157.468    1051636.572
    1770.000      -75.716     -152.377    1051436.798
    1800.000      -74.464     -148.079    1051202.996
    1830.000      -73.137     -144.443    1050935.981
    1860.000      -71.752     -141.352    1050636.682
    1890.000      -70.319     -138.706    1050306.142
    1920.000      -68.849     -136.427    1049945.512
    1950.000      -67.350     -134.449    1049556.049
    1980.000      -65.826     -132.721    1049139.112
    2010.000      -64.281     -131.201    1048696.154
