                                 15 Oct 2018 11:41:09
Satellite-Sat0304


Time (EpSec)    Lat (deg)    Lon (deg)      Alt (m)  
------------    ---------    ---------    -----------
       0.000       60.758       91.012    1047615.537
      30.000       59.168       92.060    1047099.527
      60.000       57.569       93.003    1046564.613
      90.000       55.960       93.857    1046012.666
     120.000       54.344       94.632    1045445.618
     150.000       52.722       95.339    1044865.456
     180.000       51.093       95.987    1044274.214
     210.000       49.459       96.582    1043673.964
     240.000       47.820       97.131    1043066.815
     270.000       46.177       97.639    1042454.898
     300.000       44.531       98.110    1041840.365
     330.000       42.880       98.549    1041225.376
     360.000       41.227       98.958    1040612.097
     390.000       39.571       99.341    1040002.687
     420.000       37.912       99.700    1039399.295
     450.000       36.250      100.038    1038804.048
     480.000       34.587      100.357    1038219.049
     510.000       32.921      100.659    1037646.362
     540.000       31.253      100.945    1037088.013
     570.000       29.584      101.216    1036545.976
     600.000       27.913      101.475    1036022.168
     630.000       26.241      101.723    1035518.446
     660.000       24.567      101.959    1035036.593
     690.000       22.891      102.187    1034578.318
     720.000       21.215      102.405    1034145.247
     750.000       19.538      102.617    1033738.916
     780.000       17.859      102.821    1033360.769
     810.000       16.180      103.019    1033012.148
     840.000       14.500      103.212    1032694.292
     870.000       12.819      103.400    1032408.332
     900.000       11.138      103.584    1032155.284
     930.000        9.456      103.764    1031936.049
     960.000        7.774      103.941    1031751.406
     990.000        6.091      104.116    1031602.014
    1020.000        4.408      104.290    1031488.403
    1050.000        2.725      104.461    1031410.979
    1080.000        1.042      104.632    1031370.016
    1110.000       -0.642      104.803    1031365.662
    1140.000       -2.325      104.974    1031397.930
    1170.000       -4.008      105.146    1031466.708
    1200.000       -5.691      105.318    1031571.748
    1230.000       -7.374      105.493    1031712.679
    1260.000       -9.056      105.670    1031888.997
    1290.000      -10.738      105.849    1032100.075
    1320.000      -12.420      106.032    1032345.162
    1350.000      -14.101      106.219    1032623.387
    1380.000      -15.781      106.411    1032933.759
    1410.000      -17.460      106.608    1033275.175
    1440.000      -19.139      106.810    1033646.422
    1470.000      -20.817      107.020    1034046.180
    1500.000      -22.493      107.237    1034473.031
    1530.000      -24.169      107.462    1034925.459
    1560.000      -25.843      107.696    1035401.859
    1590.000      -27.516      107.941    1035900.541
    1620.000      -29.187      108.197    1036419.740
    1650.000      -30.857      108.466    1036957.615
    1680.000      -32.525      108.748    1037512.264
    1710.000      -34.191      109.046    1038081.724
    1740.000      -35.855      109.360    1038663.983
    1770.000      -37.517      109.694    1039256.983
    1800.000      -39.177      110.048    1039858.631
    1830.000      -40.834      110.425    1040466.804
    1860.000      -42.488      110.828    1041079.359
    1890.000      -44.139      111.259    1041694.138
    1920.000      -45.786      111.722    1042308.976
    1950.000      -47.430      112.221    1042921.710
    1980.000      -49.070      112.759    1043530.187
    2010.000      -50.705      113.343    1044132.269
    2040.000      -52.335      113.978    1044725.841
    2070.000      -53.959      114.670    1045308.823
    2100.000      -55.577      115.429    1045879.170
    2130.000      -57.187      116.263    1046434.884
    2160.000      -58.789      117.183    1046974.019
    2190.000      -60.381      118.205    1047494.689
    2220.000      -61.962      119.344    1047995.073
    2250.000      -63.529      120.619    1048473.423
    2280.000      -65.081      122.057    1048928.067
    2310.000      -66.614      123.687    1049357.419
    2340.000      -68.125      125.545    1049759.979
    2370.000      -69.608      127.680    1050134.345
    2400.000      -71.058      130.148    1050479.211
    2430.000      -72.465      133.023    1050793.376
    2460.000      -73.820      136.392    1051075.745
    2490.000      -75.108      140.363    1051325.334
    2520.000      -76.309      145.062    1051541.276
    2550.000      -77.400      150.622    1051722.818
    2580.000      -78.349      157.165    1051869.329
    2610.000      -79.120      164.750    1051980.299
    2640.000      -79.672      173.317    1052055.343
    2670.000      -79.969     -177.382    1052094.198
    2700.000      -79.989     -167.784    1052096.731
    2730.000      -79.729     -158.413    1052062.932
