                                                                            24 May 2018 18:54:36
Aircraft-Aircraft1-To-Satellite-Sat0809:  Access Summary Report


Aircraft1-To-Sat0809
--------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 04:59:38.151    2 Nov 2013 05:15:53.849           975.697
                       2    2 Nov 2013 06:44:30.387    2 Nov 2013 07:02:57.042          1106.655
                       3    2 Nov 2013 14:30:55.405    2 Nov 2013 14:42:24.837           689.432
                       4    2 Nov 2013 16:15:14.952    2 Nov 2013 16:34:38.714          1163.762
                       5    2 Nov 2013 18:09:30.915    2 Nov 2013 18:14:59.607           328.692
                       6    3 Nov 2013 01:59:46.464    3 Nov 2013 02:17:16.773          1050.308
                       7    3 Nov 2013 03:46:03.627    3 Nov 2013 03:59:59.990           836.363

Global Statistics
-----------------
Min Duration           5    2 Nov 2013 18:09:30.915    2 Nov 2013 18:14:59.607           328.692
Max Duration           4    2 Nov 2013 16:15:14.952    2 Nov 2013 16:34:38.714          1163.762
Mean Duration                                                                            878.701
Total Duration                                                                          6150.910
